GEOID10,pop,sldl_2000,sldl_2016,sldu_2000,sldl_2013,sldl_2018,cd_2003,sldl_2010,sldu_2013,sldu_2010,sldl_2015
500019601002012,16,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002013,69,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002014,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002015,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002016,2,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002017,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002018,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002019,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002020,32,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002021,16,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002022,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002023,36,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002024,20,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002025,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002026,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002027,22,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002028,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002029,14,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002030,4,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002031,13,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002032,18,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002033,16,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002034,20,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002035,8,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002036,37,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003000,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003001,8,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003002,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003003,53,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003004,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003005,39,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003006,8,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003007,63,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003008,38,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003009,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003010,37,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003011,2,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003012,13,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003013,3,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003014,27,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003015,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003016,78,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003017,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003018,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003019,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003020,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003021,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003022,25,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003023,56,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003024,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003025,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003026,9,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003027,241,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003028,133,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003029,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003030,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003031,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003032,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003033,20,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003034,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003035,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003036,87,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003037,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003038,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003039,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003040,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003041,129,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003042,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003043,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003044,5,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003045,13,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003046,17,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003047,100,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003048,3,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003049,8,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003050,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003051,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003052,139,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003053,221,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003054,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003055,4,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003056,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003057,9,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003058,52,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003059,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003060,55,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003061,17,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003062,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003063,3,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003064,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003065,87,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003066,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003067,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003068,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003069,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003070,48,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003071,4,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003072,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003073,8,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003074,4,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003075,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003076,40,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003077,22,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003078,38,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003079,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003080,5,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003081,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003082,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003083,4,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003084,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003085,2,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003086,3,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003087,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003088,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003089,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
