GEOID10,pop,sldl_2000,cd_2013,sldl_2013,sldu_2000,cd_2003,sldl_2010,sldu_2013,sldu_2010
090010101014038,0,149,004,149,036,004,149,036,036
090010101014039,2,149,004,149,036,004,149,036,036
090010101014040,5,149,004,149,036,004,149,036,036
090010101014041,0,149,004,149,036,004,149,036,036
090010101014042,0,149,004,149,036,004,149,036,036
090010101014043,0,149,004,149,036,004,149,036,036
090010101014044,0,149,004,149,036,004,149,036,036
090010101014045,3,149,004,149,036,004,149,036,036
090010101014046,116,149,004,149,036,004,149,036,036
090010101014047,0,149,004,149,036,004,149,036,036
090010101014048,0,149,004,149,036,004,149,036,036
090010101014049,26,149,004,149,036,004,149,036,036
090010101014050,259,149,004,149,036,004,149,036,036
090010101014051,1,149,004,149,036,004,149,036,036
090010101021000,12,149,004,149,036,004,149,036,036
090010101021001,48,149,004,149,036,004,149,036,036
090010101021002,93,149,004,149,036,004,149,036,036
090010101021003,119,151,004,149,036,004,149,036,036
090010101021004,17,149,004,149,036,004,149,036,036
090010101021005,0,149,004,149,036,004,149,036,036
090010101021006,17,151,004,149,036,004,149,036,036
090010101021007,27,151,004,149,036,004,149,036,036
090010101021008,43,151,004,149,036,004,149,036,036
090010101021009,0,151,004,149,036,004,149,036,036
090010101021010,26,151,004,149,036,004,149,036,036
090010101021011,94,151,004,149,036,004,149,036,036
090010101021012,3,151,004,149,036,004,149,036,036
090010101021013,59,151,004,149,036,004,151,036,036
090010101021014,9,151,004,151,036,004,151,036,036
090010101021015,63,151,004,149,036,004,151,036,036
090010101021016,25,151,004,151,036,004,151,036,036
090010101021017,57,151,004,151,036,004,151,036,036
090010101021018,0,151,004,151,036,004,151,036,036
090010101021019,5,151,004,151,036,004,151,036,036
090010101021020,5,151,004,151,036,004,151,036,036
090010101021021,67,151,004,151,036,004,151,036,036
090010101021022,6,151,004,151,036,004,151,036,036
090010101021023,75,151,004,151,036,004,151,036,036
090010101021024,119,151,004,151,036,004,151,036,036
090010101021025,0,151,004,151,036,004,151,036,036
090010101021026,0,151,004,151,036,004,149,036,036
090010101021027,50,151,004,151,036,004,149,036,036
090010101021028,0,151,004,151,036,004,149,036,036
090010101021029,19,151,004,149,036,004,149,036,036
090010101021030,256,151,004,151,036,004,149,036,036
090010101021031,0,151,004,151,036,004,149,036,036
090010101021032,2,151,004,151,036,004,151,036,036
090010101021033,4,151,004,151,036,004,151,036,036
090010101021034,2,151,004,151,036,004,151,036,036
090010101021035,4,151,004,149,036,004,149,036,036
090010101022000,0,151,004,149,036,004,149,036,036
090010101022001,95,151,004,149,036,004,149,036,036
090010101022002,0,151,004,149,036,004,149,036,036
090010101022003,0,149,004,149,036,004,149,036,036
090010101022004,43,149,004,149,036,004,149,036,036
090010101022005,0,151,004,149,036,004,149,036,036
090010101022006,0,149,004,149,036,004,149,036,036
090010101022007,0,149,004,149,036,004,149,036,036
090010101022008,4,149,004,149,036,004,149,036,036
090010101022009,0,149,004,149,036,004,149,036,036
090010101022010,33,151,004,149,036,004,149,036,036
090010101022011,34,151,004,149,036,004,149,036,036
090010101022012,86,151,004,149,036,004,149,036,036
090010101022013,0,151,004,149,036,004,149,036,036
090010101022014,0,151,004,149,036,004,149,036,036
090010101022015,77,151,004,149,036,004,149,036,036
090010101022016,0,151,004,149,036,004,149,036,036
090010101022017,57,151,004,149,036,004,149,036,036
090010101022018,0,149,004,149,036,004,149,036,036
090010101022019,52,149,004,149,036,004,149,036,036
090010101022020,0,149,004,149,036,004,149,036,036
090010101022021,102,151,004,149,036,004,149,036,036
090010101022022,68,151,004,149,036,004,149,036,036
090010101022023,0,151,004,149,036,004,149,036,036
090010101022024,0,151,004,149,036,004,149,036,036
090010101022025,94,151,004,149,036,004,149,036,036
090010101022026,0,151,004,149,036,004,149,036,036
090010101022027,0,151,004,149,036,004,149,036,036
